Population,Value
Afghanistan,1.2
Albania,0.3
Algeria,3.9
Angola,0.2
Argentina,3.6
Armenia,0.5
Australia,1.5
Austria,1.8
Azerbaijan,0.4
Bahamas,1.6
Bahrain,0.9
Bangladesh,6.2
Barbados,1.6
Belarus,1.2
Belgium,1.4
Belize,1.8
Benin,0.2
Bhutan,2.3
Bolivia (Plurinational State of),10.9
Bosnia and Herzegovena,2.4
Botswana,0.4
Brazil,2.2
Brunei Darussalam,1.1
Bulgaria,1.8
Burkina Faso,0.1
Burundi,0.1
Cabo Verde,0
Cambodia,2.2
Cameroon,0
Canada,1.6
Central African Republic,0.1
Chad,0.3
Chile,12.8
China,2.9
Colombia,3.5
Comoros,0
Congo,0
Costa Rica,2.2
Croatia,3.3
Cuba,1.5
Cyprus,1.5
Czech Republic,4.7
Democratic People%u2019s Republic of Korea,2.3
Democratic Republic of the Congo,0
Denmark,2.1
Djibouti,1
Dominican Republic,0.5
Ecuador,5.7
Egypt,1.3
El Salvador,2.3
Equatorial Guinea,0
Eritrea,1.2
Estonia,1.2
Ethiopia,1.8
Fiji,0.3
Finland,1.9
France (metropolitan),1.4
"France, Guadeloupe",1.7
"France, La Reunion",1.7
"France, Martinique",2.4
"France, New Caledonia",2.6
French Guyana,0
French Polynesia,3.4
Gabon,0.3
The Gambia,0
Georgia,0.4
Germany,2.4
Ghana,0.4
Greece,1.2
Guatemala,1.8
Guinea,0
Guinea-Bissau,0
Guyana,1.9
Haiti,1.1
Honduras,2.2
Hungary,2.9
Iceland,1.3
India,2.1
Indonesia,0.7
"Iran, Islamic Republic of",1.4
Iraq,0.9
Ireland,2.3
Israel,1.2
Italy,2.3
Jamaica,1.4
Japan,3.7
Jordan,3.1
Kazakhstan,0.2
Kenya,1.6
"Korea, Republic of",5.4
Kuwait,1.3
Kyrgyzstan,1.2
Lao People%u2019s Democratic Republic,3.4
Latvia,1.2
Lebanon,1.8
Lesotho,0
Liberia,0.7
Libya,3.2
Lithuania,1.3
Luxembourg,0.7
Madagascar,1
Malawi,0
Malaysia,1.1
Maldives,0
Mali,0.4
Malta,1.1
Mauritania,0.2
Mauritius,1.3
Mexico,2.4
Mongolia,0.4
Montenegro,2.7
Morocco,1.7
Mozambique,1.1
Myanmar,3.6
Namibia,0
Nepal,4.9
Netherlands,1.5
New Zealand,1.5
Nicaragua,2.8
Niger,0.3
Nigeria,0.2
Norway,1.6
Oman,0.8
Pakistan,2.2
Panama,0.6
Papua New Guinea,0.6
Paraguay,2
Peru,5.5
Philippines,0.5
Poland,3.6
Portugal,1.3
Puerto Rico,1.2
Qatar,2.7
Republic of Moldova,0.8
Romania,1.5
Russian Federation,1.3
Rwanda,0.1
Samoa,0
Saudi Arabia,2.8
Senegal,0.2
Serbia,2.6
Sierra Leone,0.8
Singapore,1.7
Slovakia,4.4
Slovenia,4.3
Solomon Islands,0
Somalia,1.7
South Africa,0.6
South Sudan,0.8
Spain,1.6
Sri Lanka,0.5
Sudan,0.7
Suriname,0.6
Swaziland,0
Sweden,2
Switzerland,1.9
Syrian Arab Republic,2
Tajikistan,0.1
Thailand,2.3
The former Yugoslav Republic of Macedonia,1.3
Timor-Leste,1.3
Togo,0.2
Trinidad and Tobago,1.1
Tunisia,2.5
Turkey,1.3
Turkmenistan,0.1
Uganda,0.2
Ukraine,1.3
United Arab Emirates,1.2
United Kingdom,0.7
United Republic of Tanzania,0.1
United States of America,1.6
"United States of America, Guam",0.7
Uruguay,3.6
Uzbekistan,0.1
Vanuatu,0
Venezuela (Bolivarian Republic of),1.2
Viet Nam,0.4
West Bank and Gaza Strip,4
Yemen,0.2
Zambia,0.6
Zimbabwe,0.6
